algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
sarsa,600,0.1,0.99,0.1,240,9.2000,8,1
sarsa,600,0.1,0.99,0.1,241,9.2000,8,1
sarsa,600,0.1,0.99,0.1,242,9.2000,8,1
sarsa,600,0.1,0.99,0.1,243,8.8000,12,1
sarsa,600,0.1,0.99,0.1,244,6.6000,14,1
sarsa,600,0.1,0.99,0.1,245,6.4000,16,1
sarsa,600,0.1,0.99,0.1,246,9.0000,10,1
sarsa,600,0.1,0.99,0.1,247,9.2000,8,1
sarsa,600,0.1,0.99,0.1,248,9.2000,8,1
sarsa,600,0.1,0.99,0.1,249,7.9000,11,1
sarsa,600,0.1,0.99,0.1,250,9.0000,10,1
sarsa,600,0.1,0.99,0.1,251,9.2000,8,1
sarsa,600,0.1,0.99,0.1,252,9.0000,10,1
sarsa,600,0.1,0.99,0.1,253,9.2000,8,1
sarsa,600,0.1,0.99,0.1,254,9.2000,8,1
sarsa,600,0.1,0.99,0.1,255,9.2000,8,1
sarsa,600,0.1,0.99,0.1,256,9.2000,8,1
sarsa,600,0.1,0.99,0.1,257,9.2000,8,1
sarsa,600,0.1,0.99,0.1,258,9.2000,8,1
sarsa,600,0.1,0.99,0.1,259,9.0000,10,1
sarsa,600,0.1,0.99,0.1,260,9.2000,8,1
sarsa,600,0.1,0.99,0.1,261,9.2000,8,1
sarsa,600,0.1,0.99,0.1,262,9.2000,8,1
sarsa,600,0.1,0.99,0.1,263,8.1000,9,1
sarsa,600,0.1,0.99,0.1,264,9.2000,8,1
sarsa,600,0.1,0.99,0.1,265,9.2000,8,1
sarsa,600,0.1,0.99,0.1,266,9.2000,8,1
sarsa,600,0.1,0.99,0.1,267,9.2000,8,1
sarsa,600,0.1,0.99,0.1,268,8.1000,9,1
sarsa,600,0.1,0.99,0.1,269,9.2000,8,1
sarsa,600,0.1,0.99,0.1,270,8.1000,9,1
sarsa,600,0.1,0.99,0.1,271,8.1000,9,1
sarsa,600,0.1,0.99,0.1,272,9.0000,10,1
sarsa,600,0.1,0.99,0.1,273,9.0000,10,1
sarsa,600,0.1,0.99,0.1,274,9.2000,8,1
sarsa,600,0.1,0.99,0.1,275,9.2000,8,1
sarsa,600,0.1,0.99,0.1,276,9.2000,8,1
sarsa,600,0.1,0.99,0.1,277,9.2000,8,1
sarsa,600,0.1,0.99,0.1,278,9.2000,8,1
sarsa,600,0.1,0.99,0.1,279,9.2000,8,1
sarsa,600,0.1,0.99,0.1,280,9.0000,10,1
sarsa,600,0.1,0.99,0.1,281,9.0000,10,1
sarsa,600,0.1,0.99,0.1,282,8.1000,9,1
sarsa,600,0.1,0.99,0.1,283,8.1000,9,1
sarsa,600,0.1,0.99,0.1,284,9.2000,8,1
sarsa,600,0.1,0.99,0.1,285,9.0000,10,1
sarsa,600,0.1,0.99,0.1,286,8.1000,9,1
sarsa,600,0.1,0.99,0.1,287,9.0000,10,1
sarsa,600,0.1,0.99,0.1,288,8.1000,9,1
sarsa,600,0.1,0.99,0.1,289,8.1000,9,1
sarsa,600,0.1,0.99,0.1,290,9.2000,8,1
sarsa,600,0.1,0.99,0.1,291,8.8000,12,1
sarsa,600,0.1,0.99,0.1,292,9.2000,8,1
sarsa,600,0.1,0.99,0.1,293,8.1000,9,1
sarsa,600,0.1,0.99,0.1,294,9.2000,8,1
sarsa,600,0.1,0.99,0.1,295,7.7000,13,1
sarsa,600,0.1,0.99,0.1,296,9.2000,8,1
sarsa,600,0.1,0.99,0.1,297,9.2000,8,1
sarsa,600,0.1,0.99,0.1,298,9.2000,8,1
sarsa,600,0.1,0.99,0.1,299,9.2000,8,1
sarsa,600,0.1,0.99,0.1,300,9.2000,8,1
sarsa,600,0.1,0.99,0.1,301,9.2000,8,1
sarsa,600,0.1,0.99,0.1,302,9.2000,8,1
sarsa,600,0.1,0.99,0.1,303,8.1000,9,1
sarsa,600,0.1,0.99,0.1,304,8.4000,16,1
sarsa,600,0.1,0.99,0.1,305,9.2000,8,1
sarsa,600,0.1,0.99,0.1,306,9.2000,8,1
sarsa,600,0.1,0.99,0.1,307,9.0000,10,1
sarsa,600,0.1,0.99,0.1,308,9.2000,8,1
sarsa,600,0.1,0.99,0.1,309,8.1000,9,1
sarsa,600,0.1,0.99,0.1,310,9.2000,8,1
sarsa,600,0.1,0.99,0.1,311,9.2000,8,1
sarsa,600,0.1,0.99,0.1,312,9.2000,8,1
sarsa,600,0.1,0.99,0.1,313,9.2000,8,1
sarsa,600,0.1,0.99,0.1,314,8.8000,12,1
sarsa,600,0.1,0.99,0.1,315,9.2000,8,1
sarsa,600,0.1,0.99,0.1,316,8.1000,9,1
sarsa,600,0.1,0.99,0.1,317,9.2000,8,1
sarsa,600,0.1,0.99,0.1,318,9.2000,8,1
sarsa,600,0.1,0.99,0.1,319,9.2000,8,1
sarsa,600,0.1,0.99,0.1,320,8.1000,9,1
sarsa,600,0.1,0.99,0.1,321,9.2000,8,1
sarsa,600,0.1,0.99,0.1,322,9.2000,8,1
sarsa,600,0.1,0.99,0.1,323,9.0000,10,1
sarsa,600,0.1,0.99,0.1,324,8.1000,9,1
sarsa,600,0.1,0.99,0.1,325,7.7000,13,1
sarsa,600,0.1,0.99,0.1,326,9.2000,8,1
sarsa,600,0.1,0.99,0.1,327,9.2000,8,1
sarsa,600,0.1,0.99,0.1,328,9.0000,10,1
sarsa,600,0.1,0.99,0.1,329,9.2000,8,1
sarsa,600,0.1,0.99,0.1,330,9.0000,10,1
sarsa,600,0.1,0.99,0.1,331,9.2000,8,1
sarsa,600,0.1,0.99,0.1,332,9.2000,8,1
sarsa,600,0.1,0.99,0.1,333,9.2000,8,1
sarsa,600,0.1,0.99,0.1,334,9.0000,10,1
sarsa,600,0.1,0.99,0.1,335,9.2000,8,1
sarsa,600,0.1,0.99,0.1,336,7.9000,11,1
sarsa,600,0.1,0.99,0.1,337,9.0000,10,1
sarsa,600,0.1,0.99,0.1,338,9.2000,8,1
sarsa,600,0.1,0.99,0.1,339,9.2000,8,1
sarsa,600,0.1,0.99,0.1,340,9.0000,10,1
sarsa,600,0.1,0.99,0.1,341,9.2000,8,1
sarsa,600,0.1,0.99,0.1,342,9.2000,8,1
sarsa,600,0.1,0.99,0.1,343,9.0000,10,1
sarsa,600,0.1,0.99,0.1,344,9.2000,8,1
sarsa,600,0.1,0.99,0.1,345,9.0000,10,1
sarsa,600,0.1,0.99,0.1,346,9.2000,8,1
sarsa,600,0.1,0.99,0.1,347,9.2000,8,1
sarsa,600,0.1,0.99,0.1,348,9.0000,10,1
sarsa,600,0.1,0.99,0.1,349,9.2000,8,1
sarsa,600,0.1,0.99,0.1,350,9.2000,8,1
sarsa,600,0.1,0.99,0.1,351,9.2000,8,1
sarsa,600,0.1,0.99,0.1,352,9.2000,8,1
