algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
qlearning,500,0.1,0.99,0.1,186,8.1000,9,1
qlearning,500,0.1,0.99,0.1,187,9.0000,10,1
qlearning,500,0.1,0.99,0.1,188,8.1000,9,1
qlearning,500,0.1,0.99,0.1,189,9.0000,10,1
qlearning,500,0.1,0.99,0.1,190,9.2000,8,1
qlearning,500,0.1,0.99,0.1,191,8.1000,9,1
qlearning,500,0.1,0.99,0.1,192,9.2000,8,1
qlearning,500,0.1,0.99,0.1,193,8.1000,9,1
qlearning,500,0.1,0.99,0.1,194,8.1000,9,1
qlearning,500,0.1,0.99,0.1,195,9.2000,8,1
qlearning,500,0.1,0.99,0.1,196,8.1000,9,1
qlearning,500,0.1,0.99,0.1,197,9.2000,8,1
qlearning,500,0.1,0.99,0.1,198,9.2000,8,1
qlearning,500,0.1,0.99,0.1,199,9.0000,10,1
qlearning,500,0.1,0.99,0.1,200,8.1000,9,1
qlearning,500,0.1,0.99,0.1,201,9.2000,8,1
qlearning,500,0.1,0.99,0.1,202,8.6000,14,1
qlearning,500,0.1,0.99,0.1,203,9.2000,8,1
qlearning,500,0.1,0.99,0.1,204,8.1000,9,1
qlearning,500,0.1,0.99,0.1,205,9.2000,8,1
qlearning,500,0.1,0.99,0.1,206,9.2000,8,1
qlearning,500,0.1,0.99,0.1,207,8.1000,9,1
qlearning,500,0.1,0.99,0.1,208,8.8000,12,1
qlearning,500,0.1,0.99,0.1,209,9.0000,10,1
qlearning,500,0.1,0.99,0.1,210,9.2000,8,1
qlearning,500,0.1,0.99,0.1,211,9.2000,8,1
qlearning,500,0.1,0.99,0.1,212,9.2000,8,1
qlearning,500,0.1,0.99,0.1,213,8.1000,9,1
qlearning,500,0.1,0.99,0.1,214,8.1000,9,1
qlearning,500,0.1,0.99,0.1,215,9.2000,8,1
qlearning,500,0.1,0.99,0.1,216,9.2000,8,1
qlearning,500,0.1,0.99,0.1,217,8.1000,9,1
qlearning,500,0.1,0.99,0.1,218,9.2000,8,1
qlearning,500,0.1,0.99,0.1,219,9.2000,8,1
qlearning,500,0.1,0.99,0.1,220,9.2000,8,1
qlearning,500,0.1,0.99,0.1,221,9.2000,8,1
qlearning,500,0.1,0.99,0.1,222,8.8000,12,1
qlearning,500,0.1,0.99,0.1,223,9.2000,8,1
qlearning,500,0.1,0.99,0.1,224,9.2000,8,1
qlearning,500,0.1,0.99,0.1,225,9.2000,8,1
qlearning,500,0.1,0.99,0.1,226,9.2000,8,1
qlearning,500,0.1,0.99,0.1,227,8.1000,9,1
qlearning,500,0.1,0.99,0.1,228,7.0000,10,1
qlearning,500,0.1,0.99,0.1,229,7.9000,11,1
qlearning,500,0.1,0.99,0.1,230,9.2000,8,1
qlearning,500,0.1,0.99,0.1,231,9.2000,8,1
qlearning,500,0.1,0.99,0.1,232,9.0000,10,1
qlearning,500,0.1,0.99,0.1,233,9.0000,10,1
qlearning,500,0.1,0.99,0.1,234,8.1000,9,1
qlearning,500,0.1,0.99,0.1,235,9.2000,8,1
qlearning,500,0.1,0.99,0.1,236,9.2000,8,1
qlearning,500,0.1,0.99,0.1,237,9.2000,8,1
qlearning,500,0.1,0.99,0.1,238,9.2000,8,1
qlearning,500,0.1,0.99,0.1,239,7.0000,10,1
qlearning,500,0.1,0.99,0.1,240,9.2000,8,1
qlearning,500,0.1,0.99,0.1,241,9.0000,10,1
qlearning,500,0.1,0.99,0.1,242,6.8000,12,1
qlearning,500,0.1,0.99,0.1,243,7.7000,13,1
qlearning,500,0.1,0.99,0.1,244,8.1000,9,1
qlearning,500,0.1,0.99,0.1,245,9.0000,10,1
qlearning,500,0.1,0.99,0.1,246,9.2000,8,1
qlearning,500,0.1,0.99,0.1,247,9.0000,10,1
qlearning,500,0.1,0.99,0.1,248,9.2000,8,1
qlearning,500,0.1,0.99,0.1,249,9.2000,8,1
qlearning,500,0.1,0.99,0.1,250,8.1000,9,1
qlearning,500,0.1,0.99,0.1,251,9.2000,8,1
qlearning,500,0.1,0.99,0.1,252,9.0000,10,1
qlearning,500,0.1,0.99,0.1,253,8.1000,9,1
qlearning,500,0.1,0.99,0.1,254,8.1000,9,1
